hi	hai
let s let tom do it	mari kita biarkan tom yang melakukannya
let s start working	mari kita mulai bekerja
let s try something	mari kita coba sesuatu
look at the picture	lihat gambarnya
look i ll show you	lihat akan kutunjukkan padamu
make sure tom is ok	pastikan tom baik baik saja
mary is very pretty	mary sangat cantik
mary was a waitress	mary dulunya seorang pelayan
mary was a waitress	dulu mary seorang pramusaji
math is hard for me	matematika sulit bagi saya
may i take you home	bolehkah aku mengantarmu pulang
money is everything	uang adalah segalanya
monkeys climb trees	monyet memanjat pohon
more coffee please	tolong tambah kopinya
my back still hurts	punggungku masih sakit
my dad went fishing	ayahku pergi memancing
my dad will kill me	ayah akan membunuhku
my dad will kill me	ayahku akan membunuhku
my ears are ringing	telingaku berdering
my hobby is fishing	hobiku memancing ikan
my house is haunted	rumah saya berhantu
my mom will kill me	ibuku akan membunuhku
my mother was right	ibu saya benar
my name is tom too	namaku juga tom
my neck hurts today	leher saya sakit hari ini
my room is upstairs	kamarku ada di lantai atas
my sister is pretty	adikku cantik
no one could see it	tidak ada yang bisa melihatnya
nobody wants to eat	tidak ada yang mau makan
nothing can stop me	tidak ada yang bisa menghentikanku
nuts are nutritious	kacang itu bernutrisi
old habits die hard	rupa boleh diubah tabiat dibawa mati
people say i m dumb	orang orang bilang saya bodoh
perhaps i was wrong	mungkin aku salah
pleased to meet you	senang bertemu denganmu
prepare to evacuate	bersiap siap untuk evakuasi
quit fooling around	jangan bertingkah bodoh
shave your mustache	cukur kumismu
she has books	dia punya buku
she has a white cat	dia memiliki seekor kucing berwarna putih
she has pretty eyes	dia memiliki mata yang cantik
she hasn t come yet	dia masih belum datang
she is not here yet	dia masih belum di sini
she kept on working	dia terus bekerja
she likes ice cream	dia suka es krim
she locked the door	dia mengunci pintunya
she raised her hand	dia mengangkat tangannya
she works in a bank	dia bekerja di sebuah bank
she s an only child	dia anak tunggal
she s my first love	dialah cinta pertamaku
she s still a minor	dia masih di bawah umur
something s changed	ada sesuatu yang berubah
take a seat please	silakan duduk
take off your socks	lepas kaus kakimu
thank you very much	terima kasih banyak
that answer s wrong	jawaban itu salah
that door is locked	pintu itu terkunci
that isn t a secret	itu bukan rahasia
that never happened	itu tidak pernah terjadi
that should suffice	itu cukup
that won t help you	itu tidak akan membantumu
that s tom s office	itu kantor tom
that s an earthworm	itu cacing tanah
that s an imitation	itu imitasi
that s it isn t it	yang itu kan
that s not a secret	itu bukan rahasia
that s not possible	itu mustahil
that s preposterous	itu gila
the answer was easy	jawabanya mudah
the door is blocked	pintunya terhalang
the food was decent	makanannya lumayan
the fridge is empty	kulkasnya kosong
the girl is jumping	anak perempuan itu melompat
the office is empty	kantornya kosong
the question is how	pertanyaannya adalah bagaimana
the rules are clear	aturannya sangatlah jelas
the train just left	keretanya baru saja berangkat
the trunk was empty	bagasinya kosong
there s no evidence	tidak ada bukti
there s no news yet	belum ada kabar
these are the rules	ini peraturannya
they don t hate you	mereka tidak membencimu
they went by subway	mereka pergi dengan kereta bawah tanah
they re kind of fun	mereka lumayan menyenangkan
they re not illegal	mereka bukan pendatang gelap
they re still young	mereka masih muda
they re vegetarians	mereka vegetarian
things have changed	sesuatu telah berubah
this coffee is cold	kopi ini dingin
this door is locked	pintu ini terkunci
this dress is cheap	gaun ini murah
this is a jellyfish	ini ubur ubur
this is a newspaper	ini koran
this is a pay phone	ini telepon umum
this is all for tom	ini semua untuk tom
this is an ice cube	ini es batu
this is complicated	ini rumit
this is grape juice	ini jus anggur
this is her handbag	ini tasnya
this is interesting	ini menarik
this is magnificent	ini luar biasa indah
this is my computer	ini adalah komputerku
this is my own bike	ini sepedaku sendiri
this is my suitcase	ini koper saya
this is really cool	ini sangat keren
this isn t my fault	ini bukan salahku
this never happened	ini tidak pernah terjadi
this novel bores me	novel ini membuatku bosan
this skirt is cheap	rok ini murah
those are my orders	itu pesananku
tokyo is a big city	tokyo adalah kota besar
tom abused my trust	tom menyalahgunakan kepercayaan yang aku berikan
tom appears stunned	tom kelihatannya terkejut
tom approached mary	tom mendekati mary
tom began screaming	tom mulai berteriak
tom began to scream	tom mulai berteriak
tom bought me roses	tom membelikanku bunga mawar
tom came here alone	tom datang kemari sendirian
tom can t even read	tom bahkan tidak bisa membaca
tom can t leave now	saat ini tom tidak bisa pergi
tom closed his eyes	tom memejamkan mata
tom closed the book	tom menutup buku itu
tom didn t go there	tom tidak pergi ke sana
tom didn t touch it	tom tidak menyentuhnya
tom died in october	tom meninggal pada bulan oktober
tom died last month	tom meninggal bulan lalu
tom disappointed me	tom membuatku kecewa
tom disappointed me	tom mengecewakanku
tom doesn t know me	tom tidak mengetahui saya
tom doesn t like me	tom tidak menyukaiku
tom doesn t love me	tom tidak mencintaiku
tom doesn t love me	tom tidak menyayangiku
tom drives too fast	tom mengemudi terlalu cepat
tom felt humiliated	tom merasa dipermalukan
tom found me a taxi	tom mencarikanku sebuah taksi
tom gave it to mary	tom memberikannya kepada mary
tom has his own car	tom memiliki mobilnya sendiri
tom has his own car	tom punya mobil sendiri
tom has lied to you	tom sudah berbohong padamu
tom has two options	tom punya dua pilihan
tom heated the milk	tom menghangatkan susu
tom humiliated mary	tom mempermalukan mary
tom is mary s uncle	tom adalah paman mary
tom is a politician	tom adalah seorang politikus
tom is all business	tom terlalu serius
tom is eating alone	tom sedang makan sendirian
tom is having lunch	tom sedang makan siang
tom is ignoring you	tom mengabaikanmu
tom is in the attic	tom ada di loteng
tom is in the house	tom ada di dalam rumah
tom is my assistant	tom adalah asisten saya
tom is still crying	tom masih menangis
tom is still in bed	tom masih di tempat tidur
tom isn t very well	tom tidak begitu sehat
tom kept on talking	tom terus berbicara
tom kept on walking	tom terus berjalan
tom killed his wife	tom membunuh istrinya
tom laughed at mary	tom menertawakan mary
tom likes mary too	tom juga menyukai mary
tom likes ice cream	tom suka es krim
tom likes this game	tom suka permainan ini
tom likes this game	tom suka gim ini
tom looked confused	tom terlihat kebingungan
tom looks different	tom terlihat berbeda
tom looks disgusted	tom terlihat jijik
tom looks perplexed	tom terlihat kebingungan
tom made his choice	tom sudah membuat keputusan
tom moved to boston	tom pindah ke boston
tom must be stopped	tom harus dihentikan
tom needed training	tom membutuhkan pelatihan
tom needs new shoes	tom butuh sepatu baru
tom nodded silently	tom mengangguk diam diam
tom plays the flute	tom bermain seruling
tom put on my shirt	tom mengenakan kemejaku
tom ran out of food	tom kehabisan makanan
tom remains puzzled	tom masih bingung
tom says he ll come	tom bilang ia akan datang
tom shut the drawer	tom menutup lacinya
tom sings very well	tom bernyanyi dengan sangat baik
tom started to sing	tom mulai bernyanyi
tom started yelling	tom mulai berteriak
tom threatened mary	tom mengancam mary
tom was very afraid	tom sangat ketakutan
tom was very scared	tom sangat ketakutan
tom went home alone	tom pulang ke rumah sendirian
tom went on talking	tom lanjut berbicara
tom works from home	tom bekerja dari rumah
tom s eyes are blue	mata tom biru
tom s eyes are blue	tom matanya biru
tom s face was pale	muka tom pucat
tom s house is tidy	rumah tom rapi
tom s older than me	tom lebih tua ketimbang aku
wait just minutes	tunggu menit saja
wake me up at eight	bangunkan aku jam delapan
wash the vegetables	cucilah sayurnya
we can count on tom	kami dapat mempercayai tom
we don t drink milk	kami tidak minum susu
we know who you are	kami tau siapa kamu
we met in australia	kami bertemu di australia
we must act at once	kita harus bertindak sekarang juga
we ll find your car	kami akan menemukan mobil anda
we re tom s parents	kami orang tua tom
we re afraid of tom	kami takut terhadap tom
we re afraid of tom	kita takut terhadap tom
we re eating apples	kami sedang makan apel
we re truck drivers	kami pengemudi truk
were they convinced	apakah mereka telah yakin
what are they doing	apa yang mereka lakukan
what are you eating	apa yang sedang kamu makan
what did he look up	apa yang dia cari
what does tom think	apa yang tom pikirkan
what does that mean	apa maksudnya
what does this mean	apa artinya ini
what is on the desk	di atas meja ada apa
what is our problem	masalah kita apa
what language is it	itu bahasa apa
what should i bring	saya harus bawa apa
what should i bring	apa yang harus aku bawa
what was that sound	suara apa itu
what was the result	bagaimana hasilnya
what were you doing	sedang apa kau tadi
what s done is done	nasi sudah menjadi bubur
what s your problem	apa masalahmu
when are you coming	kapan kamu datang
when did you get up	kapan kamu bangun
when will you leave	kapan kamu akan pergi
when will you leave	kamu kapan akan pergi
when will you leave	kapan kamu berangkat
where are you bound	kamu menuju ke mana
where are you going	kau mau pergi ke mana
where are you going	anda akan pergi ke mana
where are you going	kamu mau ke mana
where are you going	mau ke mana
where have you been	dari mana kamu
where have you been	kamu dari mana saja
where have you been	ke mana saja kamu
where have you been	dari mana saja anda
where have you gone	ke mana kamu pergi
where is the toilet	di manakah toilet
where is the toilet	di mana toiletnya
where is your chair	kursimu di mana
where should i sign	saya harus tanda tangan di mana
where s my suitcase	koperku di mana
where s the airport	ada di mana bandaranya
where s the station	ada di mana stasiunnya
where s the station	stasiunnya di mana
where s your jacket	mana jaketmu
where s your sister	di mana kakakmu
which part is wrong	bagian mana yang salah
who chose this wine	siapa yang memilih anggur ini
who chose this wine	siapa yang memilih arak ini
who closed the gate	siapa yang menutup pagar
who is your teacher	siapa gurumu
who s drinking beer	siapa yang sedang minum bir
why are you dancing	kenapa kamu menari
why can t i see you	mengapa aku tidak bisa melihatmu
why did you give up	kenapa kau menyerah
why didn t you come	kenapa kau tidak datang
why do you say that	mengapa kamu mengatakan itu
why do you think so	kenapa kau berpikir begitu
why is neptune blue	mengapa neptunus berwarna biru
why is my bag empty	mengapa tasku kosong
why were you crying	mengapa kamu menangis
you are a good cook	kamu koki yang terampil
you ate my sandwich	kamu memakan sandwich miliku
you can rely on her	kau bisa mengandalkannya
you can rely on him	kau bisa mengandalkannya
you disappointed me	kamu membuatku kecewa
you disappointed me	kamu mengecewakanku
you don t need that	kau tidak memerlukan itu
you don t need this	kau tidak memerlukan ini
you have to go back	kamu harus kembali
you look quite sick	kamu kelihatan agak sakit
you look quite sick	ngoko awakmu ketoke radha lara krama panjenengan ketingal gerah
you look very tired	kamu terlihat sangat lelah
you must start soon	kamu harus segera mulai
you must start soon	kamu harus mulai secepatnya
you must stay awake	kau harus tetap terjaga
you need to go back	kamu harus kembali
you need to help me	kamu harus membantuku
you should eat more	kamu harus makan lebih banyak lagi
you still have time	kamu masih punya waktu
you tore your pants	kau merobekkan celanamu
you won t need that	kamu tidak akan memerlukan itu
you d better not go	sebaiknya kamu tidak pergi
you re going to die	kau akan mati
you re my hero tom	kaulah pahlawanku tom
you re really smart	kamu pintar ya
you re the only one	kaulah satu satunya
your family is here	keluargamu di sini
your father is tall	ayahmu tinggi besar
your hair is a mess	rambutmu berantakan
your shoes are here	sepatumu ada di sini
a horse is an animal	kuda adalah binatang
am i being too vague	apa aku kurang jelas
anyone may use these	siapa saja bisa menggunakan ini
are you a vegetarian	apa kau nabatiwan
are you a vegetarian	apa kau seorang nabatiwan
are you conservative	apa kau konservatif
are you going to die	apakah kamu akan mati
are you sure of that	apa kau yakin dengan hal itu
are your hands clean	apakah tanganmu sudah bersih
birds fly in the sky	burung burung terbang di langit
bring me a dry towel	bawakan aku sebuah handuk kering
button up your shirt	kancingkan bajumu
can i take a day off	bisakah aku mengambil hari libur
can i turn on the tv	bolehkah saya nyalakan tv nya
can he speak english	dapatkah dia berbicara bahasa inggris
can we come with you	bolehkah kami datang denganmu
can we interview tom	bisakah kami mewawancarai tom
can you ride a horse	dapatkah kamu menunggang kuda
can you speak french	apakah anda bisa berbahasa prancis
check the answer key	periksa kunci jawaban
come on let s do it	ayolah mari kita lakukan
did you see a doctor	apa kau sudah pergi ke dokter
did you see anything	kamu melihat sesuatu
didn t i tell you so	tidakkah aku berkata begitu padamu
do we really need it	apakah kita benar benar membutuhkannya
do whatever it takes	lakukan apapun yang diperlukan
do you have any pets	apakah anda memiliki peliharaan
do you hear anything	apakah kamu mendengar sesuatu
do you like teaching	apakah kamu suka mengajar
do you speak english	apa anda menggunakan bahasa inggris
does that clock work	apakah jam itu berfungsi
don t change a thing	jangan ubah apa pun
don t drink anything	jangan minum apa apa
don t make fun of me	jangan mempermainkanku
don t play with fire	jangan bermain api
don t play with fire	meletakkan api di bubungan
don t shut your eyes	jangan tutup matamu
don t shut your eyes	jangan pejamkan matamu
don t worry about me	jangan khawatirkan aku
don t worry about us	jangan khawatirkan kami
don t you get lonely	tidakkah kamu merasa kesepian
everybody knows them	semua orang tahu mereka
everybody knows them	semua orang kenal mereka
everybody was silent	semua orang terdiam
everything is closed	semuanya tutup
give me a day or two	beri saya waktu satu atau dua hari
go back to your seat	kembali ke tempat dudukmu
have you been abroad	kamu pernah ke luar negeri
he began to feel ill	dia mulai merasa sakit
he can speak chinese	dia bisa berbahasa cina
he caught three fish	dia menangkap tiga ekor ikan
he committed suicide	dia bunuh diri
he didn t fear death	dia tidak takut pada kematian
he didn t fear death	dia tidak takut mati
he doesn t like fish	dia tidak suka ikan
he easily gets angry	dia mudah marah
he gave a short talk	dia berbicara singkat
he got bored quickly	dia mudah bosan
he has a hungry look	dia terlihat lapar
he has a sweet voice	dia memiliki suara yang merdu
he has lots of money	dia punya banyak uang
he has no girlfriend	dia tidak punya pacar
he hit me in the eye	dia memukul saya di mata
he is good at tennis	dia pandai bermain tenis
he is good at tennis	ia pandai bermain tenis
he is good at tennis	dia jago bermain tenis
he is wearing gloves	dia mengenakan sarung tangan
he isn t here is he	dia tidak ada di sini kan
he left home at	dia meninggalkan rumah pukul
he lives there alone	dia tinggal di sana seorang diri
he seems to be lying	sepertinya dia berbohong
he sold all his land	dia menjual semua tanahnya
he wanted to succeed	dia ingin berhasil
he wants to kiss her	dia ingin menciumnya
he went deer hunting	ia pergi berburu rusa
he s eating an apple	dia sedang memakan sebuah apel
he s eating an apple	dia sedang makan apel
he s eight years old	dia delapan tahun
he s eight years old	dia berumur tahun
he s in the bathroom	dia ada di kamar mandi
he s under the chair	dia ada di bawah kursi
her name was unknown	namanya tidak diketahui
hide behind the sofa	sembunyi di balik sofa
his hands feel rough	tangannya terasa kasar
his socks are purple	kaus kakinya berwarna ungu
how are noodles made	bagaimana mi dibuat
how are your parents	bagaimana kabar orang tuamu
how did you get hurt	bagaimana kamu bisa terluka
how long did i sleep	berapa lama tadi saya tidur
how many people died	berapa banyak orang yang mati
how much is this tie	berapa harga dasi ini
i agree to this plan	saya setuju pada rencana ini
i am afraid of dying	saya takut mati
i am counting on you	aku mengandalkanmu
i am eating an apple	saya sedang makan sebuah apel
i am terribly hungry	aku sangat lapar
i believe all of you	aku percaya kalian semua
i bought a small car	aku membeli mobil kecil
i brought my trumpet	saya membawa trompet saya
i can sleep anywhere	aku bisa tidur di mana pun
i can t dance either	aku juga tidak bisa berdansa
i can t go back home	aku tidak bisa pulang
i can t help you now	aku tidak bisa membantumu sekarang
i can t help you now	saya tidak bisa membantu anda saat ini
i can t stop smoking	aku tidak bisa berhenti merokok
i continued speaking	aku terus berbicara
i continued speaking	saya terus berbicara
i didn t kill anyone	saya tidak membunuh siapa pun
i didn t see a thing	aku tidak melihat apa apa
i don t know exactly	aku tidak tahu tepatnya
i don t like her hat	aku tidak suka topinya
i don t like his hat	aku tidak suka topinya
i don t like oranges	aku tidak suka jeruk
i don t mind waiting	aku tidak keberatan menunggu
i don t see anything	aku tidak melihat apa apa
i don t wear glasses	saya tidak memakai kacamata
i don t work for tom	saya tidak bekerja untuk tom
i eat rice every day	aku makan nasi setiap hari
i emptied the bucket	aku mengosongkan ember itu
i emptied the bucket	aku mengosongkan ember
i felt like an idiot	aku merasa seperti orang bodoh
i guess you re right	aku rasa kamu benar
i hate cops like him	aku benci polisi seperti dia
i have a new red car	aku punya mobil baru warna merah
i have a sore throat	saya sakit tenggorokan
i have a stepbrother	saya punya kakak tiri
i have a stepbrother	saya punya adik tiri
i have a stomachache	perutku sakit
i have a stomachache	saya sakit perut
i have a stomachache	aku sakit perut
i have a twin sister	aku punya saudara kembar adik perempuan
i have a twin sister	aku punya saudara kembar kakak perempuan
i have no more ideas	aku kehabisan ide
i have read the book	saya sudah membaca bukunya
i have three cameras	aku memiliki tiga buah kamera
i hope i can do this	aku harap aku bisa melakukan ini
i know it wasn t tom	aku tahu itu bukan tom
i know what you mean	aku tahu apa maksudmu
i left the door open	aku membiarkan pintunya terbuka
i like how it sounds	aku suka dengan bunyinya
i like reading books	aku suka membaca buku
i like this one more	saya lebih suka yang ini
i like this one more	aku lebih suka yang ini
i like this one too	saya juga suka yang ini
i like this one too	aku juga suka yang ini
i like to eat apples	aku suka makan apel
i like your optimism	aku suka dengan sifat optimismu
i look forward to it	aku menantikannya
i look forward to it	saya menantikannya
i made you breakfast	aku telah membuatkanmu sarapan
i met mary yesterday	aku bertemu mary kemarin
i need a new bicycle	saya perlu sepeda baru
i need a plastic bag	saya perlu kantong plastik
i owe my life to tom	aku berhutang nyawa kepada tom
i paid in taxes	aku membayar untuk pajak
i saw them yesterday	aku melihat mereka kemarin
i showed her my room	aku menunjukkan kamarku padanya
i showed him my room	aku menunjukkan kamarku padanya
i swear it wasn t me	aku bersumpah itu bukan aku
i tell you the truth	aku mengatakan padamu yang sebenarnya
i think i understand	aku pikir aku paham
i think i m pregnant	aku rasa aku hamil
i think tom has left	aku pikir tom telah pergi
i think tom is lying	aku pikir tom berbohong
i think ghosts exist	aku pikir hantu itu ada
i think they like us	aku pikir mereka menyukai kita
i think you re crazy	saya pikir kamu gila
i think you re right	aku pikir kamu benar
i walked up the hill	aku menapaki bukit
i want an mp player	aku ingin sebuah pemutar mp
i want the other one	saya ingin yang satunya
i want to study math	saya ingin belajar matematika
i want what you want	aku ingin yang kamu inginkan
i want what you want	aku mau yang kamu mau
i wanted to go there	aku ingin pergi ke sana
i wanted to sunbathe	aku ingin berjemur
i will come with you	aku akan ikut denganmu
i will eat you alive	aku akan memakanmu hidup hidup
i wish you were here	andai saja kamu di sini
i won t fix anything	saya tidak akan memperbaiki apa pun
i d like to see that	aku ingin melihatnya
i ll be glad to come	dengan senang hati saya akan datang
i ll buy you a drink	aku akan membelikanmu minuman
i ll phone you later	aku akan meneleponmu nanti
i m glad to meet you	senang bertemu denganmu
i m happy to be here	saya senang berada disini
i m not a journalist	saya bukan jurnalis
i m not a journalist	saya bukan wartawan
i m not busy anymore	aku tidak lagi sibuk
i m not feeling well	aku merasa tidak enak badan
i m not ready to die	aku tidak siap untuk mati
i m not ready to die	aku belum siap untuk mati
i m shorter than you	aku lebih pendek ketimbang kamu
i m smarter than you	aku lebih pintar daripada kamu
i m sure they ll win	saya yakin kalau mereka akan menang
i m usually punctual	saya terbiasa tepat waktu
i m washing my hands	saya mencuci tangan
i ve already retired	aku sudah pensiun
i ve got a toothache	saya sakit gigi
i ve only just begun	aku baru saja memulainya
i ve read both books	aku sudah membaca kedua buku itu
i ve told the police	saya sudah memberi tahu polisi
ice melts in the sun	es mencair di bawah sinar matahari
is my answer correct	apakah jawaban saya tepat
is my answer correct	apakah jawaban saya benar
is this beef or pork	ini daging sapi atau daging babi
is this your bicycle	apakah ini sepedamu
it could ve been tom	itu mungkin tom
it is already eleven	sudah jam sebelas
it is in the kitchen	itu ada di dapur
it is time to get up	sudah waktunya bangun
it isn t raining yet	hujan belum turun
it looks like an egg	itu nampak seperti telor
it must ve been love	ini pasti cinta
it was kind of funny	itu agak menggelikan
it wasn t their idea	itu bukan ide mereka
it s a good question	ini pertanyaan yang bagus
it s a hot day today	hari ini panas
it s all tom s fault	semua salah tom
it s our only chance	ini satu satunya kesempatan kita
it s really hot here	di sini panas banget
it s time to wake up	sudah waktunya bangun
it s twenty past six	sekarang jam enam lewat dua puluh menit
it s weird isn t it	aneh kan
just watch and learn	lihat dan pelajarilah
let me see that list	coba saya lihat daftar itu
let me take a gander	biarkan aku melihatnya
let s do it this way	mari kita lakukan dengan cara ini
let s do it your way	mari kita lakukan dengan caramu
let s give it a shot	mari kita mencobanya
let s just do it now	sudah mari kita lakukan saja sekarang
let s try once again	ayo coba sekali lagi
look at that big dog	lihatlah anjing besar itu
look before you leap	berhambakan tangan bersaksikan mata berhakimkan hati
look before you leap	menengadah membilang layar menangkup membilang lantai
look before you leap	telah dijual maka dibeli
look before you leap	dibalik balik bagai memanggang
mary hugged her doll	mary memeluk bonekanya
mary is a brave girl	mary adalah anak perempuan yang pemberani
mary kissed my cheek	mary mencium pipiku
may i ask a question	bolehkah saya mengajukan sebuah pertanyaan
may i eat this apple	bolehkah saya makan apel ini
may i go out to play	bolehkah aku pergi bermain
may i hold your hand	boleh aku pegang tangan kamu
may i play the piano	bolehkah aku memainkan pianonya
may i use the toilet	bisa numpang ke toilet
may i use your phone	boleh pinjam ponselmu
may i use your phone	apakah saya boleh menggunakan ponsel anda
may i use your phone	bolehkah saya meminjam telepon anda
monkeys like bananas	monyet suka pisang
my father is at home	ayah saya ada di rumah
my father is healthy	ayahku sehat
my first name is tom	nama depan saya tom
my house was on fire	rumahku kebakaran
my watch is accurate	jam saya akurat
my wife is also here	istri saya juga ada di sini
no one has been here	tidak ada yang pernah ke sini
no one has been here	belum ada yang pernah ke sini
nobody heard a thing	tidak ada yang mendengar apapun
nobody listens to us	tidak ada yang mendengarkan kami
nobody lives forever	tidak ada yang hidup selamanya
ok let s just do it	ok mari kita lakukan saja
perhaps you re right	mungkin anda benar
please shut the door	tolong tutup pintunya
remember these rules	ingat ingat peraturan ini
remember to eat well	ingatlah untuk makan dengan baik
school starts monday	sekolah dimulai pada hari senin
she bought a new car	dia membeli mobil baru
she felt like crying	dia merasa ingin menangis
she has a funny face	dia memiliki wajah yang lucu
she has forgiven him	dia telah memaafkan dia
she has forgiven him	dia telah memaafkannya
she has ten children	dia mempunyai sepuluh anak
she heard him scream	dia mendengarnya berteriak
she is angry with me	dia marah padaku
she is my girlfriend	dia pacarku
she is my girlfriend	dia itu pacarku
she missed him a lot	dia sangat merindukannya
she opens the window	dia membuka jendela
she plays the guitar	dia memainkan gitar
she tends to be late	dia suka terlambat
she wants to hug him	dia ingin memeluknya
she wept at the news	ia menangis mendengar berita itu
should i cut my hair	haruskah aku memotong rambutku
should i go with you	apa perlu aku temani
sign above this line	tanda tangan di atas garis ini
singing is difficult	bernyanyi itu sulit
snow covered the bus	salju menyelimuti bis itu
so what do you think	jadi bagaimana menurutmu
stay out of the rain	jangan sampai kehujanan
sumatra is an island	sumatra adalah sebuah pulau
take a look at these	lihat ini
take a look at these	coba lihat ini
take this table away	singkirkan meja ini
thank you in advance	terima kasih sebelumnya
that answer is wrong	jawaban itu salah
that ll never change	itu tak akan pernah berubah
that s an order tom	ini perintah tom
that s my best guess	kurang lebih seperti itu
that s not an answer	itu bukan suatu jawaban
that s not important	itu tidak penting
that s not important	itu tidak penting
that s probably wise	mungkin sebaiknya begitu
the tv won t turn on	televisinya tidak mau menyala
the answer was wrong	jawabannya salah
the canteen is empty	kantinnya kosong
the cat is very cute	kucing itu sangat imut
the clock is ticking	jam berdetik
the hinges are rusty	engselnya berkarat
the horse is jumping	kudanya melompat
the house is haunted	rumah tersebut berhantu
the ice cream melted	es krimnya mencair
the ink is still wet	tintanya masih basah
the ink is still wet	tinta masih basah
the lakes are frozen	danau danau membeku
the stones are white	batu batu itu berwarna putih
the students laughed	para siswa tertawa
the students laughed	murid murid tertawa
the students laughed	para murid tertawa
the telephone is red	telepon itu merah
the towels are dirty	handuk handuk itu kotor
the voting continued	pemungutan suaranya dilanjutkan
the woman is reading	wanita itu sedang membaca
there were many cars	ada banyak mobil
there s a well there	ada sumur di sana
there s only one way	hanya ada satu cara
these are all i have	ini semua yang saya punya
these books are ours	buku buku ini milik kami
they are inseparable	mereka tak dapat dipisahkan
they hate each other	mereka saling membenci
they live in a house	mereka tinggal di sebuah rumah
they opened the door	mereka membuka pintu
they stopped talking	mereka berhenti berbicara
they were all guilty	mereka semua bersalah
they ll be safe here	mereka akan aman di sini
they re all the same	semuanya sama
they re doing it now	mereka sedang melakukannya sekarang
this bed looks solid	ranjang ini tampak kokoh
this cat is very fat	kucing ini sangat gemuk
this is a good house	ini rumah yang bagus
this is a true story	ini cerita yang sebenarnya
this is all i ve got	ini semua yang saya punya
this is all my fault	ini semua adalah salahku
this is homemade jam	ini adalah selai buatan rumah
this is insufficient	ini tidak cukup
this is no different	tidak ada bedanya
this is preposterous	ini gila
this is what he said	inilah yang dia katakan
this is what he said	ini yang ia katakan
this is your country	ini negaramu
this is your country	ini negara anda
this isn t our train	ini bukan kereta kita
this novel is boring	novel ini membosankan
this room is cramped	ruangannya sempit
this video is boring	video ini membosankan
this won t take long	ini tidak akan memakan waktu yang lama
today s october th	hari ini tanggal oktober
tom accompanied mary	tom menemani mary
tom appears confused	tom terlihat kebingungan
tom became irritated	tom merasa jengkel
tom bought a new car	tom membeli mobil baru
tom bought the bread	tom membeli roti
tom can speak french	tom bisa berbahasa prancis
tom couldn t breathe	tom tidak dapat bernapas
tom couldn t go home	tom tidak bisa pulang
tom didn t tell mary	tom tidak memberi tahu mary
tom doesn t eat beef	tom tidak makan daging sapi
tom doesn t trust us	tom tidak mempercayai kita
tom drives carefully	tom mengemudi dengan hati hati
tom fell off a cliff	tom terjatuh dari tebing
tom finally met mary	tom akhirnya bertemu dengan mary
tom finished the job	tom menyelesaikan pekerjaannya
tom gave mary a kiss	tom mencium mary
tom got into the car	tom masuk ke mobil
tom got off his bike	tom turun dari sepedanya
tom has a calculator	tom punya sebuah kalkulator
tom has good manners	tom punya sopan santun
tom hasn t confessed	tom belum mengaku
tom intimidated mary	tom mengintimidasi mary
tom ironed his shirt	tom menyetrika bajunya
tom is mary s mentor	tom adalah mentor mary
tom is a red sox fan	tom adalah penggemar dari red sox
tom is a businessman	tom adalah seorang pengusaha
tom is a good person	tom adalah orang yang baik
tom is a good worker	tom adalah pekerja yang baik
tom is a nice person	tom adalah orang yang baik
tom is brokenhearted	tom patah hati
tom is conscientious	tom adalah seorang yang teliti
tom is extremely shy	tom sangat sangat pemalu
tom is irresponsible	tom tidak bertanggung jawab
tom is mad about you	tom marah kepadamu
tom is older than me	tom lebih tua ketimbang aku
tom is riding a bike	tom sedang mengendarai sepeda
tom is riding a bike	tom sedang bersepeda
tom is still outside	tom masih berada di luar
tom is still smoking	tom masih merokok
tom is the strongest	tomlah yang terkuat
tom is very careless	tom sangat ceroboh
tom is very childish	tom sangat kekanak kanakan
tom isn t busy today	tom tidak sibuk hari ini
tom likes fried rice	tom suka nasi goreng
tom looks a bit sick	tom terlihat agak sakit
tom looks bewildered	tom terlihat bimbang
tom looks frustrated	tom terlihat frustrasi
tom looks nonplussed	tom tampak tercengang
tom may get homesick	tom mungkin akan rindu rumah
tom may get homesick	tom mungkin akan rindu dengan rumah
tom needs some flour	tom membutuhkan tepung
tom never backs down	tom tidak pernah mundur
tom resumed speaking	tom lanjut berbicara
tom said he hated me	tom bilang dia membenciku
tom sat next to mary	tom duduk di samping mary
tom seems bewildered	tom sepertinya bimbang
tom slept in his car	tom tidur di dalam mobilnya
tom slipped and fell	tom jatuh terpeleset
tom slipped and fell	tom jatuh tergelincir
tom speaks very fast	tom berbicara sangat cepat
tom speaks very fast	tom berbicara dengan sangat cepat
tom started shouting	tom mulai berteriak
tom started sweating	tom mulai berkeringat
tom still lives here	tom masih tinggal di sini
tom stopped fighting	tom berhenti berkelahi
tom told me about it	tom memberitahuku tentang hal itu
tom used to be happy	tom dulu bahagia
tom was all worn out	tom benar benar kelelahan
tom was good at that	tom sangat baik dalam hal itu
tom was lying to you	tom sudah berbohong padamu
tom went on speaking	tom lanjut berbicara
tom will arrive soon	tom akan segera sampai
tom won t let you go	tom tidak akan membiarkanmu pergi
turtles are reptiles	kura kura adalah reptil
wait in line please	tolong antre
we bought everything	kami membeli semuanya
we can t start today	kita tidak bisa mulai hari ini
we did what we could	kami melakukan yang kami bisa
we don t accept tips	kami tidak menerima uang tip
we finished the work	kami menyelesaikan pekerjaannya
